CUIT: 30-65703377-0 - Fecha de emisión: 27/03/2026
Fecha Operación,Formulario,Version,Impuesto,Periodo,Importe,Observaciones
"=""05/12/2024""","=""1931""","=""0""","=""301 - EMPLEADOR-APORTES SEG. SOCIAL""","=""20241100""","=""$ 1.567.453,90""","=""02 - Comprobante general"""
"=""05/12/2024""","=""1931""","=""0""","=""312 - ASEG.RIESGO DE TRABAJO L 24557""","=""20241100""","=""$ 498.541,36""","=""02 - Comprobante general"""
"=""05/12/2024""","=""1931""","=""0""","=""351 - CONTRIBUCIONES SEG. SOCIAL""","=""20241100""","=""$ 1.535.257,98""","=""02 - Comprobante general"""
"=""05/12/2024""","=""800""","=""0""","=""30 - IVA""","=""20240900""","=""$ 7.000.000,00""","=""02 - Comprobante general"""
"=""22/11/2024""","=""800""","=""0""","=""217 - SICORE-IMPTO.A LAS GANANCIAS""","=""20241100""","=""$ 16.180,72""","=""02 - Comprobante general"""
"=""08/11/2024""","=""1931""","=""0""","=""28 - SEGURO DE VIDA COLECTIVO""","=""20241000""","=""$ 2.990,13""","=""02 - Comprobante general"""
"=""08/11/2024""","=""1931""","=""0""","=""351 - CONTRIBUCIONES SEG. SOCIAL""","=""20241000""","=""$ 29.889,11""","=""02 - Comprobante general"""
"=""08/11/2024""","=""1931""","=""0""","=""312 - ASEG.RIESGO DE TRABAJO L 24557""","=""20241000""","=""$ 463.112,18""","=""02 - Comprobante general"""
"=""08/11/2024""","=""1931""","=""0""","=""302 - APORTES OBRAS SOCIALES""","=""20241000""","=""$ 442.178,86""","=""02 - Comprobante general"""
"=""08/11/2024""","=""1931""","=""0""","=""301 - EMPLEADOR-APORTES SEG. SOCIAL""","=""20241000""","=""$ 1.470.498,95""","=""02 - Comprobante general"""
"=""08/11/2024""","=""1931""","=""0""","=""352 - CONTRIBUCIONES OBRA SOCIAL""","=""20241000""","=""$ 13.679,44""","=""02 - Comprobante general"""
"=""22/10/2024""","=""800""","=""0""","=""217 - SICORE-IMPTO.A LAS GANANCIAS""","=""20241000""","=""$ 12.810,16""","=""02 - Comprobante general"""
"=""18/10/2024""","=""800""","=""0""","=""30 - IVA""","=""20240700""","=""$ 6.854.686,79""","=""02 - Comprobante general"""
"=""07/10/2024""","=""1931""","=""0""","=""352 - CONTRIBUCIONES OBRA SOCIAL""","=""20240900""","=""$ 851.242,72""","=""02 - Comprobante general"""
"=""07/10/2024""","=""1931""","=""0""","=""351 - CONTRIBUCIONES SEG. SOCIAL""","=""20240900""","=""$ 1.864.259,42""","=""02 - Comprobante general"""
"=""07/10/2024""","=""1931""","=""0""","=""312 - ASEG.RIESGO DE TRABAJO L 24557""","=""20240900""","=""$ 448.252,08""","=""02 - Comprobante general"""
"=""07/10/2024""","=""1931""","=""0""","=""302 - APORTES OBRAS SOCIALES""","=""20240900""","=""$ 425.621,36""","=""02 - Comprobante general"""
"=""07/10/2024""","=""1931""","=""0""","=""28 - SEGURO DE VIDA COLECTIVO""","=""20240900""","=""$ 2.990,13""","=""02 - Comprobante general"""
"=""07/10/2024""","=""1931""","=""0""","=""301 - EMPLEADOR-APORTES SEG. SOCIAL""","=""20240900""","=""$ 1.419.089,44""","=""02 - Comprobante general"""
"=""20/09/2024""","=""800""","=""0""","=""217 - SICORE-IMPTO.A LAS GANANCIAS""","=""20240900""","=""$ 12.810,16""","=""02 - Comprobante general"""
"=""13/09/2024""","=""800""","=""0""","=""30 - IVA""","=""20240600""","=""$ 6.278.526,45""","=""02 - Comprobante general"""
"=""06/09/2024""","=""1931""","=""0""","=""312 - ASEG.RIESGO DE TRABAJO L 24557""","=""20240800""","=""$ 395.454,12""","=""02 - Comprobante general"""
"=""06/09/2024""","=""1931""","=""0""","=""302 - APORTES OBRAS SOCIALES""","=""20240800""","=""$ 369.720,89""","=""02 - Comprobante general"""
"=""06/09/2024""","=""1931""","=""0""","=""301 - EMPLEADOR-APORTES SEG. SOCIAL""","=""20240800""","=""$ 1.232.867,12""","=""02 - Comprobante general"""
"=""06/09/2024""","=""1931""","=""0""","=""28 - SEGURO DE VIDA COLECTIVO""","=""20240800""","=""$ 2.990,13""","=""02 - Comprobante general"""
"=""06/09/2024""","=""1931""","=""0""","=""351 - CONTRIBUCIONES SEG. SOCIAL""","=""20240800""","=""$ 1.617.784,47""","=""02 - Comprobante general"""
"=""06/09/2024""","=""1931""","=""0""","=""352 - CONTRIBUCIONES OBRA SOCIAL""","=""20240800""","=""$ 739.441,83""","=""02 - Comprobante general"""
"=""20/08/2024""","=""800""","=""0""","=""217 - SICORE-IMPTO.A LAS GANANCIAS""","=""20240800""","=""$ 8.408,65""","=""02 - Comprobante general"""
"=""19/08/2024""","=""800""","=""0""","=""30 - IVA""","=""20240500""","=""$ 5.036.723,94""","=""02 - Comprobante general"""
"=""08/08/2024""","=""1931""","=""0""","=""302 - APORTES OBRAS SOCIALES""","=""20240700""","=""$ 369.720,89""","=""02 - Comprobante general"""
